sentence	label_name	label_ID	language	Source
Immigrants are a vital source of labor and innovation, and their contributions are key to sustaining economic growth in the United States.	Economic	1	en	Migration Policy Institute
The benefits of immigration are numerous and include increased economic growth, higher levels of entrepreneurship, and greater cultural diversity.	Economic	1	en	Harvard Business Review
Immigration can be a net positive for the economy, as long as policies are in place to ensure that new arrivals are able to integrate into the labor market and contribute to economic growth.	Economic	1	en	The Economist
Same-sex marriage can have a positive economic impact by boosting tourism, increasing consumer spending, and generating new jobs in the wedding industry.	Economic	1	en	CNN Money
The legalization of same-sex marriage would lead to greater economic security for same-sex couples, as they would be able to access important benefits like Social Security, health insurance, and tax breaks.	Economic	1	en	Centre for American Progress
The economic benefits of same-sex marriage include increased tax revenue, lower government spending on social services, and a boost to the wedding and hospitality industries.	Economic	1	en	Forbes
Immigration policies that emphasize family reunification and attract highly-skilled workers can lead to significant economic benefits, including increased innovation and productivity.	Economic	1	en	World Economic Forum
The economic benefits of immigration are often overlooked, as immigrants contribute to job creation, entrepreneurship, and economic growth in a variety of ways.	Economic	1	en	National Immigration Forum
Allowing same-sex couples to marry would result in significant economic gains for businesses, as they would be able to market to a wider customer base and attract new customers who support marriage equality.	Economic	1	en	inc. magazine
The economic impact of same-sex marriage extends beyond the wedding industry, as it can lead to increased productivity, reduced absenteeism, and improved workplace morale for same-sex couples who are able to access important benefits.	Economic	1	en	Brookings Institution
Immigration can strain the capacity of existing systems, including education, healthcare, and infrastructure, and policymakers need to be mindful of these challenges when designing immigration policies.	Capacity and Resources	2	en	Migration Policy Institute
The capacity of the immigration system to process and adjudicate applications is a major bottleneck, leading to long wait times and backlogs that can delay the arrival of much-needed workers and family members.	Capacity and Resources	2	en	National Immigration Forum
Immigration can put a strain on local resources, including schools, hospitals, and housing, and policymakers need to ensure that these communities have the necessary resources to support newcomers.	Capacity and Resources	2	en	Urban Institute
The capacity of the healthcare system to provide culturally-competent care to immigrants and refugees is critical to ensuring that they receive the care they need and deserve.	Capacity and Resources	2	en	Harvard Health Blog
Same-sex marriage can strain the capacity of existing systems, including family law, estate planning, and healthcare, and policymakers need to be mindful of these challenges when designing policies.	Capacity and Resources	2	en	American Bar Association
The capacity of the legal system to protect the rights of same-sex couples and their families is critical to ensuring that they have equal access to important benefits and protections.	Capacity and Resources	2	en	Human Rights Campaign
Immigration policies that rely on enforcement alone can strain the capacity of law enforcement agencies and divert resources away from more pressing public safety concerns.	Capacity and Resources	2	en	Migration Policy Institute
The capacity of schools to provide a safe and welcoming environment for immigrant students is critical to ensuring their academic success and social integration.	Capacity and Resources	2	en	National Education Association
Same-sex marriage can increase the demand for legal services, including estate planning, tax preparation, and family law, and policymakers need to ensure that the legal system has the capacity to meet this demand.	Capacity and Resources	2	en	American Bar Association
The capacity of social service agencies to provide support to immigrant and refugee families, including housing assistance, language classes, and job training, is critical to ensuring their successful integration into American society.	Capacity and Resources	2	en	National Immigration Forum
